Year,Month,AQI
1963,01,0
1963,02,0
1963,03,0
1963,04,0
1963,05,0
1963,06,0
1963,07,0
1963,08,0
1963,09,0
1963,10,0
1963,11,0
1963,12,0
1964,01,0
1964,02,0
1964,03,0
1964,04,0
1964,05,0
1964,06,0
1964,07,0
1964,08,0
1964,09,0
1964,10,0
1964,11,0
1964,12,0
1965,01,0
1965,02,0
1965,03,0
1965,04,0
1965,05,0
1965,06,0
1965,07,0
1965,08,0
1965,09,0
1965,10,0
1965,11,0
1965,12,0
1966,01,0
1966,02,0
1966,03,0
1966,04,0
1966,05,0
1966,06,0
1966,07,0
1966,08,0
1966,09,0
1966,10,0
1966,11,0
1966,12,0
1967,01,0
1967,02,0
1967,03,0
1967,04,0
1967,05,0
1967,06,0
1967,07,0
1967,08,0
1967,09,0
1967,10,0
1967,11,0
1967,12,0
1968,01,0
1968,02,0
1968,03,0
1968,04,0
1968,05,0
1968,06,0
1968,07,0
1968,08,0
1968,09,0
1968,10,0
1968,11,0
1968,12,0
1969,01,0
1969,02,0
1969,03,0
1969,04,0
1969,05,0
1969,06,0
1969,07,0
1969,08,0
1969,09,0
1969,10,0
1969,11,0
1969,12,0
1970,01,0
1970,02,0
1970,03,0
1970,04,0
1970,05,0
1970,06,0
1970,07,0
1970,08,0
1970,09,0
1970,10,0
1970,11,0
1970,12,0
1971,01,0
1971,02,0
1971,03,0
1971,04,0
1971,05,0
1971,06,0
1971,07,0
1971,08,0
1971,09,0
1971,10,0
1971,11,0
1971,12,0
1972,01,0
1972,02,0
1972,03,0
1972,04,0
1972,05,0
1972,06,0
1972,07,0
1972,08,0
1972,09,0
1972,10,0
1972,11,0
1972,12,0
1973,01,0
1973,02,0
1973,03,0
1973,04,0
1973,05,0
1973,06,0
1973,07,0
1973,08,0
1973,09,0
1973,10,0
1973,11,0
1973,12,0
1974,01,0
1974,02,0
1974,03,0
1974,04,0
1974,05,0
1974,06,0
1974,07,0
1974,08,0
1974,09,0
1974,10,0
1974,11,0
1974,12,0
1975,01,0
1975,02,0
1975,03,0
1975,04,0
1975,05,0
1975,06,0
1975,07,0
1975,08,0
1975,09,0
1975,10,0
1975,11,0
1975,12,0
1976,01,0
1976,02,0
1976,03,0
1976,04,0
1976,05,0
1976,06,0
1976,07,0
1976,08,0
1976,09,0
1976,10,0
1976,11,0
1976,12,0
1977,01,0
1977,02,0
1977,03,0
1977,04,0
1977,05,0
1977,06,0
1977,07,0
1977,08,0
1977,09,0
1977,10,0
1977,11,0
1977,12,0
1978,01,0
1978,02,0
1978,03,0
1978,04,0
1978,05,0
1978,06,0
1978,07,0
1978,08,0
1978,09,0
1978,10,0
1978,11,0
1978,12,0
1979,01,0
1979,02,0
1979,03,0
1979,04,0
1979,05,0
1979,06,0
1979,07,0
1979,08,0
1979,09,0
1979,10,0
1979,11,0
1979,12,0
1980,01,0
1980,02,0
1980,03,0
1980,04,0
1980,05,0
1980,06,0
1980,07,0
1980,08,0
1980,09,0
1980,10,0
1980,11,0
1980,12,0
1981,01,0
1981,02,0
1981,03,0
1981,04,0
1981,05,0
1981,06,0
1981,07,0
1981,08,0
1981,09,0
1981,10,0
1981,11,0
1981,12,0
1982,01,0
1982,02,0
1982,03,0
1982,04,0
1982,05,0
1982,06,0
1982,07,0
1982,08,0
1982,09,0
1982,10,0
1982,11,0
1982,12,0
1983,01,0
1983,02,0
1983,03,0
1983,04,0
1983,05,0
1983,06,0
1983,07,0
1983,08,0
1983,09,0
1983,10,0
1983,11,0
1983,12,0
1984,01,0
1984,02,0
1984,03,0
1984,04,0
1984,05,0
1984,06,0
1984,07,0
1984,08,0
1984,09,0
1984,10,0
1984,11,0
1984,12,0
1985,01,0
1985,02,0
1985,03,0
1985,04,0
1985,05,0
1985,06,0
1985,07,0
1985,08,0
1985,09,0
1985,10,0
1985,11,0
1985,12,0
1986,01,0
1986,02,0
1986,03,0
1986,04,0
1986,05,0
1986,06,0
1986,07,0
1986,08,0
1986,09,0
1986,10,0
1986,11,0
1986,12,0
1987,01,0
1987,02,0
1987,03,0
1987,04,0
1987,05,0
1987,06,0
1987,07,0
1987,08,0
1987,09,0
1987,10,0
1987,11,0
1987,12,0
1988,01,0
1988,02,0
1988,03,0
1988,04,0
1988,05,0
1988,06,0
1988,07,0
1988,08,0
1988,09,0
1988,10,0
1988,11,0
1988,12,0
1989,01,0
1989,02,0
1989,03,0
1989,04,0
1989,05,0
1989,06,0
1989,07,0
1989,08,0
1989,09,0
1989,10,0
1989,11,0
1989,12,0
1990,01,0
1990,02,0
1990,03,0
1990,04,0
1990,05,0
1990,06,0
1990,07,0
1990,08,0
1990,09,0
1990,10,0
1990,11,0
1990,12,0
1991,01,0
1991,02,0
1991,03,0
1991,04,0
1991,05,0
1991,06,0
1991,07,0
1991,08,0
1991,09,0
1991,10,0
1991,11,0
1991,12,0
1992,01,0
1992,02,0
1992,03,0
1992,04,0
1992,05,0
1992,06,0
1992,07,0
1992,08,0
1992,09,0
1992,10,0
1992,11,0
1992,12,0
1993,01,0
1993,02,0
1993,03,0
1993,04,0
1993,05,0
1993,06,0
1993,07,0
1993,08,0
1993,09,0
1993,10,0
1993,11,0
1993,12,0
1994,01,0
1994,02,0
1994,03,0
1994,04,0
1994,05,0
1994,06,0
1994,07,0
1994,08,0
1994,09,0
1994,10,0
1994,11,0
1994,12,0
1995,01,0
1995,02,9.34
1995,03,13.5
1995,04,9.862068965517242
1995,05,9.722222222222221
1995,06,12.173913043478262
1995,07,12.035714285714286
1995,08,16.596774193548388
1995,09,9.6
1995,10,13.548387096774194
1995,11,8.833333333333334
1995,12,7.344827586206897
1996,01,7.196428571428571
1996,02,12.206896551724139
1996,03,9.0
1996,04,14.314814814814815
1996,05,0
1996,06,0
1996,07,0
1996,08,0
1996,09,0
1996,10,0
1996,11,0
1996,12,0
1997,01,0
1997,02,0
1997,03,0
1997,04,0
1997,05,0
1997,06,0
1997,07,0
1997,08,0
1997,09,0
1997,10,0
1997,11,0
1997,12,0
1998,01,8.153846153846153
1998,02,10.0625
1998,03,9.629032258064516
1998,04,17.35
1998,05,21.85483870967742
1998,06,17.196428571428573
1998,07,19.983333333333334
1998,08,22.612903225806452
1998,09,19.982758620689655
1998,10,18.322580645161292
1998,11,16.1
1998,12,17.06451612903226
1999,01,13.870967741935484
1999,02,15.160714285714286
1999,03,19.20967741935484
1999,04,28.5
1999,05,10.722222222222221
1999,06,9.9
1999,07,17.629032258064516
1999,08,18.919354838709676
1999,09,11.461538461538462
1999,10,19.096774193548388
1999,11,14.866666666666667
1999,12,7.645161290322581
2000,01,9.838709677419354
2000,02,10.931034482758621
2000,03,15.133333333333333
2000,04,14.956521739130435
2000,05,14.935483870967742
2000,06,12.033333333333333
2000,07,16.910714285714285
2000,08,19.177419354838708
2000,09,20.476190476190474
2000,10,16.5
2000,11,10.85
2000,12,6.887096774193548
2001,01,11.741935483870968
2001,02,10.892857142857142
2001,03,11.161290322580646
2001,04,15.907407407407407
2001,05,12.796296296296296
2001,06,15.483333333333333
2001,07,17.033333333333335
2001,08,16.096774193548388
2001,09,14.25
2001,10,16.403225806451612
2001,11,22.84375
2001,12,26.274193548387096
2002,01,27.274193548387096
2002,02,21.660714285714285
2002,03,14.818181818181818
2002,04,15.75
2002,05,14.596774193548388
2002,06,20.055555555555557
2002,07,21.629032258064516
2002,08,20.733333333333334
2002,09,15.433333333333334
2002,10,8.75
2002,11,20.633333333333333
2002,12,16.838709677419356
2003,01,18.951612903225808
2003,02,9.130434782608695
2003,03,16.774193548387096
2003,04,22.966666666666665
2003,05,16.933333333333334
2003,06,16.216666666666665
2003,07,23.678571428571427
2003,08,19.193548387096776
2003,09,14.833333333333334
2003,10,16.90740740740741
2003,11,14.0
2003,12,9.129032258064516
2004,01,13.435483870967742
2004,02,10.051724137931034
2004,03,10.629032258064516
2004,04,17.77659574468085
2004,05,14.25
2004,06,12.678571428571429
2004,07,15.629032258064516
2004,08,13.919354838709678
2004,09,20.033333333333335
2004,10,13.67741935483871
2004,11,8.068965517241379
2004,12,17.822580645161292
2005,01,11.193548387096774
2005,02,12.714285714285714
2005,03,16.967741935483872
2005,04,14.416666666666666
2005,05,14.564516129032258
2005,06,19.75
2005,07,18.833333333333332
2005,08,25.533333333333335
2005,09,21.189655172413794
2005,10,15.306451612903226
2005,11,15.76
2005,12,15.166666666666666
2006,01,16.951612903225808
2006,02,18.375
2006,03,14.290322580645162
2006,04,18.383333333333333
2006,05,15.903225806451612
2006,06,17.2
2006,07,18.322580645161292
2006,08,15.462962962962964
2006,09,17.65
2006,10,13.086206896551724
2006,11,13.09433962264151
2006,12,10.991525423728813
2007,01,12.983333333333333
2007,02,11.166666666666666
2007,03,15.870967741935484
2007,04,11.5
2007,05,11.516129032258064
2007,06,15.525
2007,07,16.916666666666668
2007,08,20.916666666666668
2007,09,17.733333333333334
2007,10,12.637931034482758
2007,11,18.11864406779661
2007,12,10.035714285714286
2008,01,15.693548387096774
2008,02,16.810344827586206
2008,03,17.79032258064516
2008,04,17.423076923076923
2008,05,18.06451612903226
2008,06,21.224137931034484
2008,07,24.161290322580644
2008,08,22.93103448275862
2008,09,21.115384615384617
2008,10,21.225806451612904
2008,11,15.466666666666667
2008,12,14.629032258064516
2009,01,13.548387096774194
2009,02,14.767857142857142
2009,03,17.166666666666668
2009,04,19.153846153846153
2009,05,14.446428571428571
2009,06,24.362068965517242
2009,07,17.080645161290324
2009,08,21.083333333333332
2009,09,24.98076923076923
2009,10,16.06451612903226
2009,11,29.392857142857142
2009,12,25.467741935483872
2010,01,29.080645161290324
2010,02,31.857142857142858
2010,03,26.775862068965516
2010,04,28.862654320987655
2010,05,25.462173579109063
2010,06,28.665613026819923
2010,07,28.621639784946236
2010,08,28.686522633744854
2010,09,26.68621399176955
2010,10,24.75925925925926
2010,11,23.38
2010,12,32.483870967741936
2011,01,30.403225806451612
2011,02,31.0
2011,03,34.486559139784944
2011,04,26.392857142857142
2011,05,25.216666666666665
2011,06,29.9
2011,07,30.84090909090909
2011,08,20.855286738351253
2011,09,19.716666666666665
2011,10,28.887096774193548
2011,11,22.71153846153846
2011,12,21.7
2012,01,21.661290322580644
2012,02,25.655172413793103
2012,03,25.612903225806452
2012,04,26.10266406757635
2012,05,29.315151515151516
2012,06,28.46944444444444
2012,07,27.022710418984058
2012,08,25.76086956521739
2012,09,23.2
2012,10,21.657767890248422
2012,11,24.25
2012,12,23.903225806451612
2013,01,21.821428571428573
2013,02,26.166666666666668
2013,03,23.661290322580644
2013,04,18.9
2013,05,19.693548387096776
2013,06,25.09090909090909
2013,07,26.748991935483872
2013,08,25.157608695652176
2013,09,21.652173913043477
2013,10,16.185185185185187
2013,11,17.25
2013,12,25.26
2014,01,18.184615384615384
2014,02,26.502232142857142
2014,03,23.933333333333334
2014,04,24.842105263157894
2014,05,19.980142212972595
2014,06,23.608657407407406
2014,07,31.90879416282642
2014,08,23.36773148148148
2014,09,19.386764705882353
2014,10,29.0
2014,11,16.68744473916888
2014,12,21.548387096774192
2015,01,26.051792114695342
2015,02,30.25808747412008
2015,03,23.131944444444446
2015,04,20.363020833333334
2015,05,15.545454545454545
2015,06,21.613412228796847
2015,07,23.93010752688172
2015,08,21.70967741935484
2015,09,24.05
2015,10,19.96
2015,11,17.416666666666668
2015,12,16.141259105098857
2016,01,21.660336455081513
2016,02,18.086206896551722
2016,03,17.951612903225808
2016,04,18.9
2016,05,21.25
2016,06,23.817857142857143
2016,07,26.895833333333332
2016,08,21.5
2016,09,19.55
2016,10,20.177419354838708
2016,11,21.45435185185185
2016,12,20.93548387096774
2017,01,23.774193548387096
2017,02,21.916666666666668
2017,03,24.56451612903226
2017,04,22.224137931034484
2017,05,18.693548387096776
2017,06,21.5
2017,07,28.77777777777778
2017,08,24.338709677419356
2017,09,25.361666666666665
2017,10,22.408512544802868
2017,11,22.517857142857142
2017,12,20.581078737426292
2018,01,23.861310234966147
2018,02,24.063350340136054
2018,03,28.35483870967742
2018,04,21.880925925925926
2018,05,22.56451612903226
2018,06,20.95
2018,07,30.164494741655236
2018,08,27.725806451612904
2018,09,18.683333333333334
2018,10,17.40740740740741
2018,11,22.15
2018,12,24.032258064516128
2019,01,21.983870967741936
2019,02,26.125
2019,03,25.580645161290324
2019,04,22.15
2019,05,15.358781362007168
2019,06,19.20921717171717
2019,07,22.469649670482134
2019,08,21.290929587235517
2019,09,29.640625
2019,10,18.483870967741936
2019,11,22.293836805555554
2019,12,25.575615678113078
2020,01,20.704301075268816
2020,02,22.406064209274675
2020,03,20.765695456122096
2020,04,25.11175925925926
2020,05,18.783611111111114
2020,06,25.702777777777776
2020,07,25.635057471264368
2020,08,25.036853971557406
2020,09,23.331296296296294
2020,10,22.283333333333335
2020,11,21.303571428571427
2020,12,26.643166840097123
2021,01,23.666579951439473
2021,02,26.464285714285715
2021,03,27.653503893214683
2021,04,33.082352941176474
2021,05,20.694289951798293
2021,06,30.373333333333335
2021,07,37.575182101977106
2021,08,39.22650017343045
2021,09,31.609074074074073
2021,10,23.912604042806183
2021,11,25.98046875
2021,12,27.61
2022,01,21.789473684210527
2022,02,21.964285714285715
2022,03,27.661290322580644
2022,04,25.4
2022,05,20.896982310093655
2022,06,26.925925925925927
2022,07,29.699103375527425
2022,08,23.231529656607698
2022,09,24.416666666666668
2022,10,23.532258064516128
2022,11,22.083333333333332
2022,12,27.858217592592595
